Chapter,Institution,Location,District,Charter Date,Status
Alpha,Oklahoma State University,"Stillwater, Oklahoma",Southwest,"November 27, 1919",Active
Beta,Montana State University,"Bozeman, Montana",Midwest,"December 17, 1920",Active
Gamma,University of Washington,"Seattle, Washington",Western,"December 16, 1920July 10, 1993*",Active
Delta,University of Oklahoma,"Norman, Oklahoma",Southwest,"May 21, 1921",Active
Epsilon,Mississippi State University,"Starkville, Mississippi",Southeast,"April 20, 1923April 20, 1994*",Active
Zeta,Pennsylvania State University,"State College, Pennsylvania",Northeast,"April 25, 1923",Inactive
Eta,Ohio State University,"Columbus, Ohio",North Central,"April 26, 1923",Active
Theta,Oregon State University,"Corvallis, Oregon",Western,"May 12, 1923January 3, 2009*",Active
Iota,Georgia Institute of Technology,"Atlanta, Georgia",Southeast,"April 21, 1924",Active
Kappa,Colorado State University,"Fort Collins, Colorado",Midwest,"May 31, 1924",Inactive
Lambda,University of Arkansas,"Fayetteville, Arkansas",Southwest,"June 5, 1924",Active
Mu,University of North Dakota,"Grand Forks, North Dakota",Midwest,"May 31, 1925",Inactive
Nu,University of Michigan,"Ann Arbor, Michigan",North Central,"June 12, 1925",Active
Xi,Colorado School of Mines,"Golden, Colorado",Midwest,"November 21, 1925",Active
Omicron,West Virginia University,"Morgantown, West Virginia",Northeast,"June 17, 1926",Active
Pi,Auburn University,"Auburn, Alabama",Southeast,"May 18, 1926June 6, 1992*",Active
Rho,Tulane University,"New Orleans, Louisiana",Southwest,"October 18, 1926February 20, 2010*",Active
Sigma,Ohio Northern University,"Ada, Ohio",North Central,"May 23, 1927",Active
Tau,University of Montana,"Missoula, Montana",Midwest,"June 2, 1928",Inactive
Upsilon,University of Cincinnati,"Cincinnati, Ohio",North Central,"June 11, 1928",Inactive
Phi,Stanford University,"Palo Alto, California",Western,"March 20, 1929",Inactive
Chi,"University of California, Berkeley","Berkeley, California",Western,"April 20, 1929",Inactive
Psi,"University of California, Los Angeles","Los Angeles, California",Western,"May 4, 1929",Active
Omega,University of Arizona,"Tucson, Arizona",Western,"May 7, 1929",Inactive
Alpha Alpha,University of Nevada,"Reno, Nevada",Western,"May 14, 1929October 25, 2014*",Active
Alpha Beta,Butler University,"Indianapolis, Indiana",North Central,"May 31, 1929April 2, 1977*",Active
Alpha Gamma,Duke University,"Durham, North Carolina",Southeast,"June 2, 1929",Inactive
Alpha Delta,Ohio University,"Athens, Ohio",North Central,"May 17, 1931",Active
Alpha Epsilon,Temple University,"Philadelphia, Pennsylvania",Northeast,"May 21, 1931March 25, 1987*",Inactive
Alpha Zeta,Indiana University,"Bloomington, Indiana",North Central,"May 27, 1931",Active
Alpha Eta,University of Florida,"Gainesville, Florida",Southeast,"May 25, 1931",Active
Alpha Theta,University of Northern Colorado,"Greeley, Colorado",Midwest,"June 6, 1931",Active
Alpha Iota,University of Colorado,"Boulder, Colorado",Midwest,"June 7, 1931",Active
Alpha Kappa,George Washington University,"Washington, D.C.",Northeast,"December 4, 1933April 25, 1992*",Inactive
Alpha Lambda,University of Denver,"Denver, Colorado",Midwest,"June 8, 1934",Inactive
Alpha Mu,North Dakota State University,"Fargo, North Dakota",Midwest,"May 5, 1935",Inactive
Alpha Nu,University of Wyoming,"Laramie, Wyoming",Midwest,"May 12, 1935April 14, 1967*",Active
Alpha Xi,Stetson University,"DeLand, Florida",Southeast,"December 14, 1935",Inactive
Alpha Omicron,Texas Tech University,"Lubbock, Texas",Southwest,"March 12, 1938",Active
Alpha Pi,University of Tulsa,"Tulsa, Oklahoma",Southwest,"March 18, 1938",Inactive
Alpha Rho,Northeastern State University,"Tahlequah, Oklahoma",Southwest,"May 2, 1938",Inactive
Alpha Sigma,University of Tampa,"Tampa, Florida",Southeast,"May 11, 1941May 19, 2011*",Active
Alpha Tau,University of Texas at Austin,"Austin, Texas",Southwest,"May 18, 1940",Active
Alpha Upsilon,University of Southern California,"Los Angeles, California",Western,"April 11, 1942June 18, 1972*",Inactive
Alpha Phi,Rutgers University,"New Brunswick, New Jersey",Northeast,"April 16, 1942",Inactive†
Alpha Chi,University of Texas at El Paso,"El Paso, Texas",Southwest,"April 5, 1947",Active
Alpha Psi,West Texas A&M University,"Canyon, Texas",Southwest,"October 25, 1947",Active
Alpha Omega,University of Pittsburgh,"Pittsburgh, Pennsylvania",Northeast,"February 14, 1948April 14, 1996*",Active
Beta Alpha,Baylor University,"Waco, Texas",Southwest,"February 14, 1948",Active
Beta Beta,University of Mississippi,"Oxford, Mississippi",Southeast,"April 26, 1948February 23, 1974*",Inactive
Beta Gamma,Louisiana State University,"Baton Rouge, Louisiana",Southwest,"May 16, 1948",Active
Beta Delta,Sam Houston State University,"Huntsville, Texas",Southwest,"May 15, 1948",Inactive
Beta Epsilon,University of South Dakota,"Vermillion, South Dakota",Midwest,"November 7, 1948",Inactive
Beta Zeta,Long Island University,"Brooklyn, New York",Northeast,"February 11, 1949",Inactive
Beta Eta,University of Tennessee,"Knoxville, Tennessee",Southeast,"March 20, 1949",Inactive
Beta Theta,University of Utah,"Salt Lake City, Utah",Western,"April 30, 1949",Inactive
Beta Iota,Nebraska Wesleyan University,"Lincoln, Nebraska",Midwest,"April 23, 1949",Inactive
Beta Kappa,Bowling Green State University,"Bowling Green, Ohio",North Central,"April 17, 1949",Active
Beta Lambda,Eastern New Mexico University,"Portales, New Mexico",Southwest,"May 8, 1949",Active
Beta Mu,Emory University,"Atlanta, Georgia",Southeast,"May 30, 1949",Inactive
Beta Nu,VanderCook College of Music,"Chicago, Illinois",North Central,"December 19, 1949",Inactive
Beta Xi,Sul Ross State University,"Alpine, Texas",Southwest,"December 4, 1949",Inactive
Beta Omicron,Arizona State University,"Tempe, Arizona",Western,"November 13, 1949",Active
Beta Pi,Drury University,"Springfield, Missouri",Midwest,"December 17, 1949May 13, 1967*",Inactive
Beta Rho,University of Toledo,"Toledo, Ohio",North Central,"January 15, 1950April 1, 1990*",Active
Beta Sigma,University of Houston,"Houston, Texas",Southwest,"January 21, 1950",Active
Beta Tau,Wichita State University,"Wichita, Kansas",Midwest,"January 19, 1950",Probation
Beta Upsilon,Abilene Christian University,"Abilene, Texas",Southwest,"March 25, 1950",Inactive
Beta Phi,Southern Methodist University,"Dallas, Texas",Southwest,"March 25, 1950",Inactive
Beta Chi,University of Virginia,"Charlottesville, Virginia",Northeast,"September 23, 1950April 23, 2005*",Active
Beta Psi,Kent State University,"Kent, Ohio",North Central,"February 25, 1951",Active
Beta Omega,Case Western Reserve University,"Cleveland, Ohio",North Central,"May 20, 1951",Inactive
Gamma Alpha,Midwestern State University,"Wichita Falls, Texas",Southwest,"May 5, 1951February 22, 2009*",Active
Gamma Beta,Brigham Young University–Idaho,"Rexburg, Idaho",Western,"May 3, 1952",Inactive
Gamma Gamma,Oklahoma Panhandle State University,"Goodwell, Oklahoma",Southwest,"May 22, 1952",Inactive
