Chapter,Institution,Location,District,Charter Date,Status,Lat,Long
Alpha,Oklahoma State University,"Stillwater, Oklahoma",Southwest,"November 27, 1919",Active,36.1156306,-97.0585717
Beta,Montana State University,"Bozeman, Montana",Midwest,"December 17, 1920",Active,45.679984,-111.044675
Gamma,University of Washington,"Seattle, Washington",Western,"December 16, 1920",Active,47.6038321,-122.3300624
Delta,University of Oklahoma,"Norman, Oklahoma",Southwest,"May 21, 1921",Active,35.2225717,-97.4394816
Epsilon,Mississippi State University,"Starkville, Mississippi",Southeast,"April 20, 1923",Active,33.4503998,-88.8183872
Zeta,Pennsylvania State University,"State College, Pennsylvania",Northeast,"April 25, 1923",Inactive,40.7944504,-77.8616386
Eta,Ohio State University,"Columbus, Ohio",North Central,"April 26, 1923",Active,39.9622601,-83.0007065
Theta,Oregon State University,"Corvallis, Oregon",Western,"May 12, 1923",Active,44.5645659,-123.2620435
Iota,Georgia Institute of Technology,"Atlanta, Georgia",Southeast,"April 21, 1924",Active,33.7490987,-84.3901849
Kappa,Colorado State University,"Fort Collins, Colorado",Midwest,"May 31, 1924",Inactive,40.5508527,-105.0668085
Lambda,University of Arkansas,"Fayetteville, Arkansas",Southwest,"June 5, 1924",Active,36.0625843,-94.1574328
Mu,University of North Dakota,"Grand Forks, North Dakota",Midwest,"May 31, 1925",Inactive,47.9078244,-97.0592028
Nu,University of Michigan,"Ann Arbor, Michigan",North Central,"June 12, 1925",Active,42.2681569,-83.7312291
Xi,Colorado School of Mines,"Golden, Colorado",Midwest,"November 21, 1925",Active,39.755543,-105.2210997
Omicron,West Virginia University,"Morgantown, West Virginia",Northeast,"June 17, 1926",Active,39.6296809,-79.9559437
Pi,Auburn University,"Auburn, Alabama",Southeast,"May 18, 1926",Active,32.527002,-85.4367484053398
Rho,Tulane University,"New Orleans, Louisiana",Southwest,"October 18, 1926",Active,29.9499323,-90.0701156
Sigma,Ohio Northern University,"Ada, Ohio",North Central,"May 23, 1927",Active,38.8398935,-83.5051704
Tau,University of Montana,"Missoula, Montana",Midwest,"June 2, 1928",Inactive,46.8700801,-113.9952796
Upsilon,University of Cincinnati,"Cincinnati, Ohio",North Central,"June 11, 1928",Inactive,39.1014537,-84.5124602
Phi,Stanford University,"Palo Alto, California",Western,"March 20, 1929",Inactive,37.4443293,-122.1598465
Chi,"University of California, Berkeley","Berkeley, California",Western,"April 20, 1929",Inactive,37.8708393,-122.2728639
Psi,"University of California, Los Angeles","Los Angeles, California",Western,"May 4, 1929",Active,34.0536834,-118.2427669
Omega,University of Arizona,"Tucson, Arizona",Western,"May 7, 1929",Inactive,32.2218917,-110.9262353
Alpha Alpha,University of Nevada,"Reno, Nevada",Western,"May 14, 1929",Active,39.52927,-119.8136744
Alpha Beta,Butler University,"Indianapolis, Indiana",North Central,"May 31, 1929",Active,39.7683331,-86.1583502
Alpha Gamma,Duke University,"Durham, North Carolina",Southeast,"June 2, 1929",Inactive,36.0181316,-78.8751582
Alpha Delta,Ohio University,"Athens, Ohio",North Central,"May 17, 1931",Active,39.3289242,-82.1012479
Alpha Epsilon,Temple University,"Philadelphia, Pennsylvania",Northeast,"May 21, 1931",Inactive,39.9524152,-75.1635755
Alpha Zeta,Indiana University,"Bloomington, Indiana",North Central,"May 27, 1931",Active,39.1670396,-86.5342881
